,roman_cp,probability
87,"I,vi,I,iii,IV","0.145,0.1,0.105,0.069,0.524"
88,"I,vi,I,iii,V","0.145,0.1,0.105,0.069,0.286"
89,"I,vi,I,iii,vi<sup>7</sup>","0.145,0.1,0.105,0.069,0.095"
90,"I,vi,ii,V,I","0.145,0.1,0.094,0.487,0.872"
91,"I,vi,ii,V,vi","0.145,0.1,0.094,0.487,0.056"
92,"I,vi,ii,IV,I","0.145,0.1,0.094,0.148,0.385"
93,"I,vi,ii,IV,iii","0.145,0.1,0.094,0.148,0.231"
94,"I,vi,ii,IV,I<sup>6</sup>","0.145,0.1,0.094,0.148,0.154"
95,"I,vi,ii,IV,V","0.145,0.1,0.094,0.148,0.128"
96,"I,vi,ii,IV,V<sup>7</sup>","0.145,0.1,0.094,0.148,0.051"
97,"I,vi,ii,IV,ii","0.145,0.1,0.094,0.148,0.051"
98,"I,vi,ii,V<sup>7</sup>,I","0.145,0.1,0.094,0.087,0.909"
99,"I,vi,ii,I,vi","0.145,0.1,0.094,0.087,0.696"
100,"I,vi,ii,I,ii","0.145,0.1,0.094,0.087,0.087"
101,"I,vi,ii,I,V","0.145,0.1,0.094,0.087,0.087"
102,"I,vi,ii,I,iii","0.145,0.1,0.094,0.087,0.087"
103,"I,vi,iii,IV,I","0.145,0.1,0.082,0.497,0.517"
104,"I,vi,iii,IV,V","0.145,0.1,0.082,0.497,0.229"
105,"I,vi,iii,IV,ii","0.145,0.1,0.082,0.497,0.068"
106,"I,vi,iii,V,I","0.145,0.1,0.082,0.247,0.852"
107,"I,vi,iii,I,vi","0.145,0.1,0.082,0.105,0.846"
108,"I,vi,iii,I,IV","0.145,0.1,0.082,0.105,0.154"
109,"I,ii,vi,IV,I","0.145,0.06,0.252,0.378,0.878"
110,"I,ii,vi,V,I","0.145,0.06,0.252,0.205,0.471"
111,"I,ii,vi,V,IV","0.145,0.06,0.252,0.205,0.259"
112,"I,ii,vi,V,vi","0.145,0.06,0.252,0.205,0.118"
113,"I,ii,vi,I,ii","0.145,0.06,0.252,0.132,0.927"
114,"I,ii,vi,I,IV","0.145,0.06,0.252,0.132,0.055"
115,"I,ii,IV,V,I","0.145,0.06,0.158,0.315,0.59"
116,"I,ii,IV,V,vi","0.145,0.06,0.158,0.315,0.269"
117,"I,ii,IV,V,ii","0.145,0.06,0.158,0.315,0.103"
118,"I,ii,IV,I,ii","0.145,0.06,0.158,0.25,0.547"
119,"I,ii,IV,I,V","0.145,0.06,0.158,0.25,0.219"
120,"I,ii,IV,I,vi","0.145,0.06,0.158,0.25,0.063"
121,"I,ii,IV,I,V<sup>6</sup>","0.145,0.06,0.158,0.25,0.063"
122,"I,ii,IV,vi,I","0.145,0.06,0.158,0.2,0.636"
123,"I,ii,IV,vi,V","0.145,0.06,0.158,0.2,0.218"
124,"I,ii,IV,vi,iii","0.145,0.06,0.158,0.2,0.073"
125,"I,ii,IV,vi,IV","0.145,0.06,0.158,0.2,0.073"
126,"I,ii,IV,V/vi,vi","0.145,0.06,0.158,0.072,0.778"
127,"I,ii,IV,V/vi,ii","0.145,0.06,0.158,0.072,0.222"
128,"I,ii,iii,IV,V","0.145,0.06,0.154,0.635,0.585"
129,"I,ii,iii,IV,iii","0.145,0.06,0.154,0.635,0.152"
130,"I,ii,iii,IV,I","0.145,0.06,0.154,0.635,0.099"
131,"I,ii,iii,IV,I<sup>6</sup>","0.145,0.06,0.154,0.635,0.058"
132,"I,ii,iii,I,IV","0.145,0.06,0.154,0.109,0.207"
133,"I,ii,iii,I,v","0.145,0.06,0.154,0.109,0.069"
134,"I,ii,iii,I,vi","0.145,0.06,0.154,0.109,0.069"
135,"I,ii,iii,vi,IV","0.145,0.06,0.154,0.097,0.385"
136,"I,ii,iii,vi,I","0.145,0.06,0.154,0.097,0.308"
137,"I,ii,iii,vi,V","0.145,0.06,0.154,0.097,0.154"
138,"I,ii,iii,vi,V<sup>6</sup>","0.145,0.06,0.154,0.097,0.077"
139,"I,ii,iii,vi,iii<sup>6</sup>","0.145,0.06,0.154,0.097,0.077"
140,"I,ii,I,ii,I","0.145,0.06,0.126,0.522,0.716"
141,"I,ii,I,ii,vi","0.145,0.06,0.126,0.522,0.073"
142,"I,ii,I,ii,IV","0.145,0.06,0.126,0.522,0.055"
